Symbol,Sector
TEL,Information Technology
TGNA,Consumer Discretionary
TGT,Consumer Discretionary
TIF,Consumer Discretionary
TJX,Consumer Discretionary
TMK,Financials
TMO,Health Care
TRIP,Consumer Discretionary
TROW,Financials
TRV,Financials
TSCO,Consumer Discretionary
TSN,Consumer Staples
TSO,Energy
TSS,Information Technology
TWX,Consumer Discretionary
TXN,Information Technology
TXT,Industrials
UA,Consumer Discretionary
UAA,Consumer Discretionary
UAL,Industrials
UDR,Real Estate
UHS,Health Care
ULTA,Consumer Discretionary
UNH,Health Care
UNM,Financials
UNP,Industrials
UPS,Industrials
URI,Industrials
USB,Financials
UTX,Industrials
V,Information Technology
VAR,Health Care
VFC,Consumer Discretionary
VIAB,Consumer Discretionary
VLO,Energy
VMC,Materials
VNO,Real Estate
VRSK,Industrials
VRSN,Information Technology
VRTX,Health Care
VTR,Real Estate
VZ,Telecommunication Services
WAT,Health Care
WBA,Consumer Staples
WDC,Information Technology
WEC,Utilities
WFC,Financials
WFM,Consumer Staples
WHR,Consumer Discretionary
WLTW,Financials
WM,Industrials
WMB,Energy
WMT,Consumer Staples
WRK,Materials
WU,Information Technology
WY,Real Estate
WYN,Consumer Discretionary
WYNN,Consumer Discretionary
XEC,Energy
XEL,Utilities
XL,Financials
XLNX,Information Technology
XOM,Energy
XRAY,Health Care
XRX,Information Technology
XYL,Industrials
YHOO,Information Technology
YUM,Consumer Discretionary
ZBH,Health Care
ZION,Financials
ZTS,Health Care
